順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"282","↑11","3","293","1878","大東建","東Ｐ","3,298.0","+15.0","+0.46","1","3,656","+879","+31.7%","3","10.0","2.16","4.94"
"283","↑35","1","318","6834","精工技研","東Ｓ","5,160","-280","-5.15","0","3,654","+1,154","+46.2%","1","25.1","6.48","0.58"
"284","↓45","0","239","5076","インフロニア","東Ｐ","2,775.0","+9.0","+0.33","1","3,649","0","0.0%","0","8.4","1.38","4.76"
"285","↓5","0","280","8377","ほくほくＦＧ","東Ｐ","8,271","+52","+0.63","0","3,649","+700","+23.7%","2","15.9","1.31","1.81"
"286","↑86","1","372","4204","積水化","東Ｐ","2,464.0","-20.5","-0.83","0","3,648","+1,723","+89.5%","1","13.1","1.17","3.29"
"287","↑7","1","294","6268","ナブテスコ","東Ｐ","4,425","-72","-1.60","0","3,641","+865","+31.2%","1","21.3","1.80","1.85"
"288","↓93","0","195","7747","朝日インテク","東Ｐ","3,170.0","-65.0","-2.01","0","3,638","-1,045","-22.3%","0","22.2","4.85","1.57"
"289","↓72","0","217","2875","東洋水","東Ｐ","9,993","-82","-0.81","0","3,636","-567","-13.5%","0","14.4","1.77","2.20"
"290","↓188","0","102","5032","エニーカラー","東Ｐ","3,110","-130","-4.01","0","3,627","-6,074","-62.6%","0","14.3","6.44","1.99"
"291","↓99","0","192","6965","ホトニクス","東Ｐ","2,195.0","-38.0","-1.70","0","3,625","-1,086","-23.1%","0","36.1","1.99","1.73"
"292","↓85","0","207","8304","あおぞら銀","東Ｐ","3,457.0","0.0","0.00%","0","3,624","-716","-16.5%","0","17.7","0.96","2.89"
"293","↓58","0","235","2127","日本Ｍ＆Ａ","東Ｐ","627.1","+1.8","+0.29","2","3,610","-135","-3.6%","0","14.9","4.19","4.62"
"294","↑79","2","373","7912","大日印","東Ｐ","3,013.0","-69.0","-2.24","0","3,570","+1,650","+85.9%","1","13.5","1.05","1.36"
"295","↓34","0","261","5714","ＤＯＷＡ","東Ｐ","8,870","-393","-4.24","0","3,556","+332","+10.3%","1","9.2","1.14","3.81"
"296","↓90","0","206","5344","ＭＡＲＵＷＡ","東Ｐ","54,340","-1,460","-2.62","1","3,551","-875","-19.8%","0","－","4.43","0.20"
"297","↑143","2","440","6586","マキタ","東Ｐ","5,230","+51","+0.98","1","3,479","+1,964","+129.6%","2","16.6","1.34","－"
"298","NEW","0","","6081","アライドアキ","東Ｇ","161","+9","+5.92","0","3,468","","","0","140","1.40","－"
"299","↑11","1","310","4183","三井化学","東Ｐ","2,099.0","-44.0","-2.05","0","3,430","+853","+33.1%","1","16.9","0.87","3.57"
"300","↓8","0","292","3088","マツキヨココ","東Ｐ","2,467.0","-22.0","-0.88","2","3,419","+623","+22.3%","1","16.4","1.81","2.27"
"301","↓15","0","286","2269","明治ＨＤ","東Ｐ","4,246","-56","-1.30","0","3,396","+508","+17.6%","2","18.4","1.49","2.59"
"302","↑190","1","492","9513","Ｊパワー","東Ｐ","4,165","+33","+0.80","1","3,391","+2,116","+166.0%","1","9.1","0.51","2.52"
"303","↑61","1","364","6806","ヒロセ電","東Ｐ","24,015","-360","-1.48","0","3,368","+1,354","+67.2%","1","22.2","2.05","2.17"
"304","↓48","0","256","6141","ＤＭＧ森精機","東Ｐ","2,764.5","-0.5","-0.02","1","3,329","+54","+1.6%","1","27.8","1.22","3.80"
"305","↓35","0","270","8113","ユニチャーム","東Ｐ","949.0","+3.8","+0.40","2","3,318","+214","+6.9%","2","23.3","2.01","2.32"
"306","↑127","1","433","7282","豊田合","東Ｐ","5,147","+94","+1.86","1","3,293","+1,734","+111.2%","1","10.6","1.04","3.40"
"307","↓53","0","254","6460","セガサミー","東Ｐ","3,198.0","+46.0","+1.46","4","3,241","-109","-3.3%","0","20.0","1.83","1.72"
"308","NEW","0","","8953","都市ファンド","東Ｒ","111,200","-1,400","-1.24","0","3,229","","","0","17.8","1.22","5.36"
