順位,順位変動,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,PER,PBR,利回り
"213","NEW","","4689","ラインヤフー","東Ｐ","445.1","+6.4","+1.46","7,103","","","－","1.02","2.47"
"214","NEW","","4523","エーザイ","東Ｐ","4,305","-35","-0.81","7,031","","","23.2","1.35","3.72"
"215","NEW","","9042","阪急阪神","東Ｐ","4,662","+96","+2.10","6,983","","","13.7","0.98","2.15"
"216","↓21","195","7911","ＴＯＰＰＡＮ","東Ｐ","5,357","-68","-1.25","6,977","+897","+14.8%","27.3","1.12","1.08"
"217","NEW","","4021","日産化","東Ｐ","8,365","-282","-3.26","6,974","","","21.7","4.37","2.53"
"218","↓55","163","6268","ナブテスコ","東Ｐ","5,531","-289","-4.97","6,947","-498","-6.7%","34.8","2.36","1.48"
"219","NEW","","7912","大日印","東Ｐ","3,151.0","+15.0","+0.48","6,905","","","14.2","1.13","1.30"
"220","NEW","","4684","オービック","東Ｐ","4,110","+36","+0.88","6,836","","","21.6","3.43","2.29"
"221","↓49","172","3905","データセク","東Ｇ","2,795","-204","-6.80","6,832","-211","-3.0%","10.2","4.81","－"
"222","NEW","","1942","関電工","東Ｐ","6,808","-49","-0.71","6,791","","","20.8","3.47","1.91"
"223","NEW","","2801","キッコマン","東Ｐ","1,678.5","+21.0","+1.27","6,766","","","25.4","2.77","1.49"
"224","NEW","","6055","Ｊマテリアル","東Ｐ","2,640","+189","+7.71","6,546","","","25.1","4.33","1.33"
"225","↓32","193","7220","武蔵精密","東Ｐ","3,705","-150","-3.89","6,339","+171","+2.8%","37.4","1.99","1.08"
"226","↓84","142","6264","マルマエ","東Ｐ","2,281","-324","-12.44","6,291","-2,418","-27.8%","19.6","4.26","1.97"
"227","NEW","","3086","Ｊフロント","東Ｐ","3,112.0","-42.0","-1.33","6,133","","","26.2","1.85","1.80"
"228","NEW","","9531","東ガス","東Ｐ","6,120","-36","-0.58","6,072","","","14.8","1.18","1.96"
"229","NEW","","3659","ネクソン","東Ｐ","2,337.0","+28.5","+1.23","5,986","","","－","1.73","2.57"
"230","NEW","","2587","サントリＢＦ","東Ｐ","4,681","+60","+1.30","5,933","","","16.3","1.10","2.56"
"231","NEW","","8354","ふくおかＦＧ","東Ｐ","7,398","+74","+1.01","5,922","","","14.0","1.30","2.84"
"232","NEW","","5110","住友ゴ","東Ｐ","2,317.5","+18.5","+0.80","5,887","","","11.1","0.84","3.62"
"233","NEW","","3391","ツルハＨＤ","東Ｐ","2,308.0","+52.5","+2.33","5,865","","","25.2","1.19","2.08"
"234","NEW","","4204","積水化","東Ｐ","2,655.0","-28.0","-1.04","5,833","","","14.1","1.26","3.05"
"235","NEW","","8304","あおぞら銀","東Ｐ","2,923.0","-10.0","-0.34","5,720","","","15.0","0.84","3.42"
"236","↓114","122","6754","アンリツ","東Ｐ","4,056","-169","-4.00","5,693","-4,407","-43.6%","34.6","3.91","1.23"
"237","NEW","","8233","高島屋","東Ｐ","2,263.0","+10.5","+0.47","5,684","","","17.5","1.46","1.77"
"238","NEW","","4005","住友化","東Ｐ","535.8","-16.6","-3.01","5,652","","","12.6","0.88","2.99"
"239","NEW","","4704","トレンド","東Ｐ","6,382","+10","+0.16","5,592","","","22.6","7.46","－"
"240","NEW","","2432","ディーエヌエ","東Ｐ","2,660.0","-3.0","-0.11","5,518","","","－","1.07","－"
"241","↓60","181","186A","アストロＨＤ","東Ｇ","1,141","-90","-7.31","5,489","-1,071","-16.3%","－","20.68","－"
"242","NEW","","2501","サッポロ","東Ｐ","2,045.5","+150.0","+7.91","5,441","","","2.7","3.71","1.96"
"243","NEW","","6834","精工技研","東Ｓ","23,350","-1,390","-5.62","5,438","","","32.6","6.17","0.51"
"244","NEW","","6728","アルバック","東Ｐ","9,519","-249","-2.55","5,399","","","25.3","2.04","1.60"
"245","NEW","","6855","電子材料","東Ｓ","6,970","-490","-6.57","5,355","","","18.6","2.27","1.15"
"246","↓57","189","6407","ＣＫＤ","東Ｐ","6,880","-600","-8.02","5,345","-900","-14.4%","28.2","2.99","1.38"
"247","NEW","","7259","アイシン","東Ｐ","2,367.5","+0.5","+0.02","5,329","","","10.7","0.73","3.17"
"248","NEW","","1878","大東建","東Ｐ","3,184.0","+9.0","+0.28","5,311","","","9.6","2.08","5.12"
"249","NEW","","7581","サイゼリヤ","東Ｐ","5,630","+80","+1.44","5,259","","","23.4","2.20","0.53"
"250","NEW","","3092","ＺＯＺＯ","東Ｐ","1,183.5","+19.0","+1.63","5,246","","","21.0","9.77","3.38"
"251","NEW","","8593","三菱ＨＣキャ","東Ｐ","1,382.0","+10.0","+0.73","5,170","","","12.4","1.00","3.69"
"252","NEW","","3003","ヒューリック","東Ｐ","1,771.0","+17.5","+1.00","5,123","","","11.1","1.48","3.78"
"253","NEW","","5105","ＴＯＹＯ","東Ｐ","3,939","-48","-1.20","5,095","","","11.2","1.14","3.43"
"254","NEW","","1944","きんでん","東Ｐ","8,142","+104","+1.29","5,084","","","19.1","2.02","2.95"
"255","↓158","97","3498","霞ヶ関Ｃ","東Ｐ","6,900","+270","+4.07","5,056","-6,913","-57.8%","10.3","2.27","2.39"
"256","NEW","","7717","Ｖテク","東Ｐ","6,920","-910","-11.62","5,024","","","21.8","1.81","1.16"
"257","NEW","","9005","東急","東Ｐ","1,738.0","+30.0","+1.76","5,016","","","10.9","1.07","1.84"
"258","NEW","","4182","菱ガス化","東Ｐ","4,657","-194","-4.00","4,978","","","19.7","1.40","2.36"
"259","NEW","","8951","ビルファンド","東Ｒ","130,200","-300","-0.23","4,949","","","－","1.57","3.78"
"260","NEW","","4768","大塚商会","東Ｐ","2,923.0","-6.5","-0.22","4,943","","","18.1","2.83","3.25"
"261","NEW","","3088","マツキヨココ","東Ｐ","2,507.5","+44.5","+1.81","4,925","","","16.7","1.81","2.23"
"262","NEW","","7309","シマノ","東Ｐ","17,380","-440","-2.47","4,921","","","35.2","1.70","2.09"
"263","NEW","","1475","ｉＳＴＰＸ","東Ｅ","421.6","-3.3","-0.78","4,904","","","－","－","－"
"264","NEW","","4612","日本ペＨＤ","東Ｐ","1,102.5","+9.0","+0.82","4,876","","","12.9","1.34","1.54"
"265","NEW","","3697","ＳＨＩＦＴ","東Ｐ","705.9","+21.8","+3.19","4,832","","","－","4.72","－"
"266","NEW","","6254","野村マイクロ","東Ｐ","4,390","-310","-6.60","4,825","","","15.1","4.28","1.94"
"267","↓106","161","7721","東京計器","東Ｐ","6,780","-530","-7.25","4,783","-2,765","-36.6%","22.3","2.45","0.71"
"268","NEW","","3197","すかいらーく","東Ｐ","2,936.5","+27.5","+0.95","4,732","","","34.2","3.51","0.89"
"269","NEW","","5076","インフロニア","東Ｐ","2,769.5","-7.0","-0.25","4,724","","","12.1","1.38","3.61"
"270","NEW","","5019","出光興産","東Ｐ","1,235.5","-8.0","-0.64","4,706","","","19.7","0.77","2.91"
"271","NEW","","6586","マキタ","東Ｐ","5,929","-100","-1.66","4,672","","","18.9","1.53","－"
"272","NEW","","9532","大ガス","東Ｐ","5,528","+13","+0.24","4,666","","","14.5","1.17","2.35"
"273","NEW","","4042","東ソー","東Ｐ","2,752.0","-69.5","-2.46","4,632","","","－","1.02","3.63"
"274","NEW","","5711","三菱マ","東Ｐ","4,359","-267","-5.77","4,590","","","11.6","0.77","2.66"
"275","NEW","","5938","ＬＩＸＩＬ","東Ｐ","1,891.5","+11.5","+0.61","4,576","","","45.3","0.82","4.76"
"276","NEW","","3445","ＲＳテクノ","東Ｐ","8,320","+360","+4.52","4,562","","","22.1","2.61","0.66"
"277","NEW","","4564","オンコセラピ","東Ｇ","21","+1","+5.00","4,557","","","－","4.05","－"
"278","NEW","","1568","ＴＰＸブル","東Ｅ","992.8","-22.2","-2.19","4,531","","","－","－","－"
"279","NEW","","6674","ＧＳユアサ","東Ｐ","6,475","-181","-2.72","4,519","","","18.0","1.65","1.51"
"280","NEW","","5714","ＤＯＷＡ","東Ｐ","8,586","-377","-4.21","4,518","","","8.9","1.11","3.94"
"281","NEW","","4203","住友ベ","東Ｐ","7,223","-126","-1.71","4,498","","","22.2","1.83","1.66"
"282","NEW","","3350","メタプラ","東Ｓ","226","-1","-0.44","4,495","","","－","0.72","－"
"283","NEW","","218A","リベラウェア","東Ｇ","1,226","+93","+8.21","4,491","","","－","35.35","－"
"284","NEW","","4324","電通グループ","東Ｐ","3,358.0","+53.0","+1.60","4,486","","","12.5","2.09","－"
"285","NEW","","1963","日揮ＨＤ","東Ｐ","2,474.0","-78.0","-3.06","4,463","","","13.0","1.39","2.10"
"286","NEW","","1911","住友林","東Ｐ","1,376.5","-2.0","-0.15","4,457","","","8.9","0.81","3.63"
"287","NEW","","7167","めぶきＦＧ","東Ｐ","1,528.0","-1.5","-0.10","4,408","","","15.1","1.33","2.62"
"288","↓179","109","6613","ＱＤレーザ","東Ｇ","2,600","-110","-4.06","4,405","-6,615","-60.0%","247","22.33","－"
"289","NEW","","4527","ロート","東Ｐ","2,525.5","+119.0","+4.94","4,399","","","16.5","1.89","1.98"
"290","NEW","","6305","日立建機","東Ｐ","5,405","-48","-0.88","4,395","","","14.4","1.28","3.52"
"291","NEW","","6622","ダイヘン","東Ｐ","16,000","-1,160","-6.76","4,391","","","22.9","2.45","1.31"
"292","NEW","","6779","日電波","東Ｐ","3,290","-375","-10.23","4,368","","","32.8","2.36","0.91"
"293","NEW","","6770","アルプスアル","東Ｐ","2,032.5","-66.0","-3.15","4,363","","","13.2","0.89","3.15"
"294","↓108","186","429A","テクセンド","東Ｐ","4,470","-80","-1.76","4,323","-2,018","-31.8%","18.7","2.54","1.57"
"295","NEW","","4151","協和キリン","東Ｐ","2,714.5","-21.0","-0.77","4,280","","","19.0","1.59","2.58"
"296","NEW","","2579","コカＢＪＨ","東Ｐ","4,483","+36","+0.81","4,279","","","32.3","1.97","1.61"
"297","NEW","","6101","ツガミ","東Ｐ","7,290","-810","-10.00","4,256","","","19.9","4.23","1.34"
"298","↓108","190","5844","京都ＦＧ","東Ｐ","4,719","-86","-1.79","4,207","-2,032","-32.6%","25.6","1.17","2.23"
"299","NEW","","8050","セイコーＧ","東Ｐ","7,270","-580","-7.39","4,198","","","25.8","3.38","1.24"
"300","NEW","","8253","クレセゾン","東Ｐ","4,701","+68","+1.47","4,178","","","8.9","0.89","3.40"
"301","NEW","","6135","牧野フ","東Ｐ","14,830","-270","-1.79","4,123","","","15.7","1.33","2.29"
"302","NEW","","3289","東急不ＨＤ","東Ｐ","1,338.5","+0.5","+0.04","4,087","","","9.5","1.06","3.74"
"303","NEW","","4596","窪田製薬ＨＤ","東Ｇ","78","-39","-33.33","4,060","","","－","6.93","－"
"304","NEW","","2875","東洋水","東Ｐ","10,905","+40","+0.37","4,053","","","16.1","1.99","2.02"
"305","NEW","","7181","かんぽ生命","東Ｐ","1,667.0","+12.5","+0.76","4,041","","","12.8","0.43","3.00"
"306","NEW","","1320","ｉＦ日経年１","東Ｅ","71,450","-1,250","-1.72","4,007","","","－","－","－"
"307","NEW","","9602","東宝","東Ｐ","1,365.0","+10.0","+0.74","3,995","","","27.7","2.20","1.61"
"308","NEW","","4183","三井化学","東Ｐ","2,157.5","-34.0","-1.55","3,973","","","17.3","0.90","3.48"
"309","NEW","","8804","東建物","東Ｐ","3,422.0","+23.0","+0.68","3,971","","","11.3","1.20","3.57"
"310","NEW","","3038","神戸物産","東Ｐ","2,747.0","+50.5","+1.87","3,957","","","20.7","3.63","1.16"
"311","NEW","","4971","メック","東Ｐ","8,890","-750","-7.78","3,942","","","29.3","5.13","1.24"
"312","NEW","","4812","電通総研","東Ｐ","2,693","-6","-0.22","3,936","","","29.2","5.21","1.67"
"313","NEW","","1540","純金信託","東Ｅ","19,980","-300","-1.48","3,924","","","－","－","－"
"314","NEW","","4043","トクヤマ","東Ｐ","4,635","-369","-7.37","3,921","","","－","1.18","－"
"315","NEW","","4506","住友ファーマ","東Ｐ","1,525.0","-28.0","-1.80","3,882","","","8.9","2.34","－"
"316","↓192","124","3656","ＫＬａｂ","東Ｐ","217","-24","-9.96","3,869","-6,156","-61.4%","－","1.75","－"
"317","NEW","","6327","北川精機","東Ｓ","5,760","-1,000","-14.79","3,842","","","77.1","8.32","0.35"
"318","NEW","","7173","東京きらぼし","東Ｐ","1,800","+20","+1.12","3,820","","","13.1","1.40","1.67"
"319","NEW","","3103","ユニチカ","東Ｓ","982","-22","-2.19","3,816","","","11.9","1.69","－"
"320","NEW","","6806","ヒロセ電","東Ｐ","27,490","-980","-3.44","3,813","","","26.5","2.38","1.89"
"321","NEW","","5805","ＳＷＣＣ","東Ｐ","11,910","-470","-3.80","3,774","","","19.1","3.58","2.10"
"322","NEW","","5406","神戸鋼","東Ｐ","1,909.5","-14.5","-0.75","3,765","","","7.6","0.60","4.19"
"323","NEW","","8358","スルガ銀","東Ｐ","2,605","+32","+1.24","3,733","","","13.9","1.37","2.30"
"324","NEW","","2282","日ハム","東Ｐ","6,320","+109","+1.75","3,731","","","15.6","1.11","2.85"
"325","NEW","","6370","栗田工","東Ｐ","8,939","-561","-5.91","3,721","","","23.0","2.83","1.50"
"326","NEW","","8377","ほくほくＦＧ","東Ｐ","7,332","-47","-0.64","3,689","","","14.2","1.21","2.05"
"327","NEW","","7747","朝日インテク","東Ｐ","3,700","-32","-0.86","3,683","","","32.1","5.91","1.25"
"328","NEW","","8113","ユニチャーム","東Ｐ","993.1","+3.1","+0.31","3,652","","","19.8","2.18","2.22"
"329","NEW","","6966","三井ハイテク","東Ｐ","986","-40","-3.90","3,636","","","18.0","1.53","1.93"
"330","NEW","","7752","リコー","東Ｐ","1,477.0","+9.0","+0.61","3,597","","","13.5","0.72","2.98"
"331","NEW","","5471","大同特鋼","東Ｐ","2,624.0","-150.0","-5.41","3,590","","","19.1","1.11","1.98"
"332","NEW","","3626","ＴＩＳＩ","東Ｐ","3,439.0","+75.0","+2.23","3,544","","","12.7","2.22","2.62"
"333","NEW","","2897","日清食ＨＤ","東Ｐ","2,975.0","+66.0","+2.27","3,532","","","18.3","1.65","2.35"
"334","NEW","","9962","ミスミＧ","東Ｐ","3,999","-151","-3.64","3,511","","","28.2","2.78","1.32"
"335","NEW","","5214","日電硝","東Ｐ","6,036","-283","-4.48","3,498","","","19.3","0.90","2.65"
"336","NEW","","3994","マネフォ","東Ｐ","4,858","+159","+3.38","3,447","","","－","6.45","－"
"337","NEW","","3405","クラレ","東Ｐ","1,704.5","-26.0","-1.50","3,429","","","12.8","0.69","3.75"
"338","NEW","","6869","シスメックス","東Ｐ","1,565.0","-23.0","-1.45","3,400","","","26.3","1.88","2.56"
"339","NEW","","2871","ニチレイ","東Ｐ","2,201.0","+11.0","+0.50","3,389","","","－","1.93","3.03"
"340","NEW","","9364","上組","東Ｐ","5,304","-26","-0.49","3,362","","","19.2","1.32","3.87"
"341","NEW","","3064","モノタロウ","東Ｐ","1,941.0","+14.0","+0.73","3,342","","","26.4","8.29","1.91"
"342","NEW","","6302","住友重","東Ｐ","5,352","-125","-2.28","3,339","","","18.7","0.93","2.71"
"343","NEW","","4536","参天薬","東Ｐ","2,218.5","-17.5","-0.78","3,324","","","17.8","2.40","1.89"
"344","NEW","","8227","しまむら","東Ｐ","3,515.0","+81.0","+2.36","3,321","","","15.4","1.48","2.28"
"345","NEW","","3861","王子ＨＤ","東Ｐ","831.0","+1.3","+0.16","3,295","","","20.2","0.64","4.33"
"346","NEW","","8252","丸井Ｇ","東Ｐ","3,004.0","+22.5","+0.75","3,289","","","18.2","2.20","4.46"
"347","NEW","","8918","ランド","東Ｓ","10","0","0.00%","3,289","","","11.4","1.68","－"
"348","NEW","","6856","堀場製","東Ｐ","26,360","-1,290","-4.67","3,281","","","22.8","3.22","1.86"
"349","NEW","","6141","ＤＭＧ森精機","東Ｐ","3,541","-234","-6.20","3,280","","","33.3","1.49","2.97"
"350","NEW","","7701","島津","東Ｐ","4,068","-33","-0.80","3,267","","","21.4","2.08","1.72"
"351","NEW","","9435","光通信","東Ｐ","36,990","+440","+1.20","3,263","","","13.5","1.36","2.11"
"352","NEW","","8366","滋賀銀","東Ｐ","2,773","+125","+4.72","3,258","","","22.4","1.25","1.80"
"353","NEW","","141A","トライアル","東Ｇ","3,140","+105","+3.46","3,232","","","771","2.95","0.51"
"354","NEW","","6952","カシオ","東Ｐ","1,854.5","-31.0","-1.64","3,229","","","22.2","1.75","－"
"355","NEW","","1893","五洋建","東Ｐ","1,704.5","-52.5","-2.99","3,218","","","13.2","2.32","3.05"
"356","NEW","","6814","古野電","東Ｐ","6,300","-350","-5.26","3,207","","","15.3","2.23","2.54"
"357","NEW","","2702","マクドナルド","東Ｓ","7,760","+120","+1.57","3,196","","","29.9","3.63","0.82"
"358","NEW","","3769","ＧＭＯ－ＰＧ","東Ｐ","10,005","+271","+2.78","3,191","","","32.5","6.48","1.70"
"359","NEW","","4205","ゼオン","東Ｐ","2,341.5","-2.5","-0.11","3,184","","","12.4","1.19","3.37"
"360","NEW","","6777","ｓａｎｔｅｃ","東Ｓ","21,370","-1,760","-7.61","3,182","","","28.6","9.03","1.08"
"361","NEW","","7762","シチズン","東Ｐ","2,223","-172","-7.18","3,176","","","19.7","1.85","2.25"
"362","NEW","","4022","ラサ工","東Ｐ","1,842","-168","-8.36","3,173","","","16.7","2.26","1.95"
"363","NEW","","7211","三菱自","東Ｐ","340.0","-3.2","-0.93","3,170","","","18.2","0.49","2.94"
"364","NEW","","4528","小野薬","東Ｐ","2,458.5","+10.0","+0.41","3,145","","","16.3","1.36","3.25"
"365","NEW","","3349","コスモス薬品","東Ｐ","6,747","+97","+1.46","3,142","","","17.3","1.95","1.11"
"366","NEW","","4208","ＵＢＥ","東Ｐ","3,212.0","-49.0","-1.50","3,121","","","12.7","0.71","4.98"
"367","NEW","","5991","ニッパツ","東Ｐ","3,912","-152","-3.74","3,106","","","17.6","1.81","1.76"
"368","NEW","","4902","コニカミノル","東Ｐ","589.4","+2.4","+0.41","3,097","","","10.2","0.54","3.05"
"369","NEW","","4966","上村工","東Ｓ","24,150","-1,580","-6.14","3,091","","","26.6","3.31","1.20"
"370","NEW","","6473","ジェイテクト","東Ｐ","2,135.0","-40.0","-1.84","3,084","","","13.6","0.86","3.28"
"371","NEW","","4716","日本オラクル","東Ｓ","8,886","+27","+0.30","3,005","","","－","5.56","－"
"372","NEW","","9009","京成","東Ｐ","1,234.5","-20.5","-1.63","3,005","","","15.1","1.07","1.78"
"373","NEW","","8359","八十二長野","東Ｐ","2,554.0","+4.0","+0.16","3,003","","","15.9","1.01","2.55"
"374","NEW","","6366","千代建","東Ｓ","735","-9","-1.21","2,988","","","27.5","5.72","－"
"375","NEW","","7826","フルヤ金属","東Ｐ","7,210","-350","-4.63","2,988","","","11.8","2.40","2.15"
"376","NEW","","6432","竹内製作所","東Ｐ","7,290","-290","-3.83","2,964","","","13.0","1.80","3.02"
"377","NEW","","9684","スクエニＨＤ","東Ｐ","2,601.0","+46.0","+1.80","2,961","","","30.3","2.69","1.65"
"378","NEW","","4403","日油","東Ｐ","2,826.5","-15.5","-0.55","2,950","","","16.3","2.15","2.48"
"379","NEW","","6330","東洋エンジ","東Ｐ","2,048","-118","-5.45","2,917","","","20.0","3.09","1.22"
"380","NEW","","4088","エアウォータ","東Ｐ","2,715","-52","-1.88","2,911","","","－","1.40","2.76"
"381","NEW","","1330","上場日経平均","東Ｅ","70,750","-2,360","-3.23","2,907","","","－","－","－"
"382","NEW","","7245","大同メ","東Ｐ","1,517","-244","-13.86","2,889","","","14.1","0.86","2.37"
"383","NEW","","6016","ジャパンエン","東Ｓ","8,830","-360","-3.92","2,876","","","14.8","4.03","1.13"
"384","NEW","","1358","上場日経２倍","東Ｅ","145,700","-4,300","-2.87","2,858","","","－","－","－"
"385","NEW","","2243","ＧＸ半導体","東Ｅ","4,816","-149","-3.00","2,850","","","－","－","－"
"386","NEW","","1365","ｉＦ日経Ｗブ","東Ｅ","4,647","-188","-3.89","2,840","","","－","－","－"
"387","NEW","","6507","シンフォニア","東Ｐ","15,580","-1,020","-6.14","2,826","","","29.3","4.44","1.03"
"388","NEW","","6471","日精工","東Ｐ","1,178.0","-40.0","-3.28","2,825","","","24.0","0.86","2.89"
"389","NEW","","4613","関西ペ","東Ｐ","2,791.0","-7.5","-0.27","2,801","","","18.2","1.64","3.94"
"390","NEW","","3231","野村不ＨＤ","東Ｐ","958.5","+4.2","+0.44","2,796","","","9.5","1.02","4.59"
"391","NEW","","3288","オープンＨ","東Ｐ","8,816","+198","+2.30","2,790","","","8.3","1.67","2.27"
"392","NEW","","7966","リンテック","東Ｐ","6,570","-420","-6.01","2,776","","","22.1","1.67","1.83"
"393","NEW","","5830","いよぎんＨＤ","東Ｐ","3,322.0","+2.0","+0.06","2,775","","","12.4","1.09","2.41"
"394","NEW","","1969","高砂熱","東Ｐ","5,113","-73","-1.41","2,766","","","16.7","3.19","2.41"
"395","NEW","","1662","石油資源","東Ｐ","1,644","-25","-1.50","2,762","","","7.0","0.67","2.74"
"396","NEW","","215A","タイミー","東Ｇ","1,638","-62","-3.65","2,757","","","25.3","10.23","－"
"397","NEW","","6448","ブラザー","東Ｐ","3,732","-27","-0.72","2,752","","","12.8","1.21","2.68"
"398","NEW","","2264","森永乳","東Ｐ","1,308.0","+9.5","+0.73","2,747","","","21.1","1.54","1.91"
"399","NEW","","9616","共立メンテ","東Ｐ","3,163.0","+11.0","+0.35","2,723","","","16.0","1.98","1.45"
"400","NEW","","4626","太陽ＨＤ","東Ｐ","4,937","-18","-0.36","2,717","","","22.8","4.75","－"
"401","NEW","","6753","シャープ","東Ｐ","655.8","+15.3","+2.39","2,714","","","10.1","1.52","－"
"402","NEW","","3687","Ｆスターズ","東Ｐ","2,291","-118","-4.90","2,697","","","37.9","8.46","0.83"
"403","NEW","","8341","七十七","東Ｐ","3,495.0","-55.0","-1.55","2,687","","","12.7","1.13","2.98"
"404","NEW","","8334","群馬銀","東Ｐ","2,442.0","-39.5","-1.59","2,679","","","14.2","1.49","2.87"
"405","NEW","","2269","明治ＨＤ","東Ｐ","3,886","+3","+0.08","2,661","","","16.9","1.36","2.83"
"406","NEW","","7906","ヨネックス","東Ｓ","2,465","+16","+0.65","2,661","","","16.0","2.62","1.14"
"407","NEW","","6103","オークマ","東Ｐ","4,845","-165","-3.29","2,652","","","21.9","1.16","2.06"
"408","NEW","","7731","ニコン","東Ｐ","2,182.0","-56.0","-2.50","2,650","","","71.9","1.22","0.92"
"409","NEW","","2267","ヤクルト","東Ｐ","2,889.0","-15.0","-0.52","2,644","","","17.9","1.37","2.49"
"410","NEW","","9506","東北電","東Ｐ","1,087.0","-10.5","-0.96","2,635","","","－","0.49","3.68"
"411","NEW","","1721","コムシスＨＤ","東Ｐ","5,445","-87","-1.57","2,626","","","16.5","1.57","2.48"
"412","NEW","","2670","ＡＢＣマート","東Ｐ","2,951.0","+39.0","+1.34","2,613","","","15.7","1.84","2.71"
"413","NEW","","9831","ヤマダＨＤ","東Ｐ","652.6","+2.4","+0.37","2,612","","","15.6","0.68","2.60"
"414","NEW","","9064","ヤマトＨＤ","東Ｐ","1,980.0","-15.5","-0.78","2,606","","","39.2","1.10","2.32"
"415","NEW","","5741","ＵＡＣＪ","東Ｐ","2,494","-79","-3.07","2,599","","","16.1","1.30","2.33"
"416","NEW","","464A","ＱＰＳＨＤ","東Ｇ","1,948","-106","-5.16","2,596","","","98.9","7.24","－"
"417","NEW","","6368","オルガノ","東Ｐ","15,250","-360","-2.31","2,593","","","23.4","4.91","1.44"
"418","NEW","","9508","九州電","東Ｐ","1,739.5","+19.0","+1.10","2,581","","","6.6","0.83","2.87"
"419","NEW","","4591","リボミック","東Ｇ","98","+30","+44.12","2,579","","","－","1.93","－"
"420","NEW","","9023","東京メトロ","東Ｐ","1,483.0","+17.5","+1.19","2,576","","","17.2","1.17","2.97"
"421","NEW","","5301","東海カーボン","東Ｐ","1,705.0","-37.5","-2.15","2,571","","","28.7","1.09","2.35"
"422","NEW","","4091","日本酸素ＨＤ","東Ｐ","6,201","-111","-1.76","2,569","","","20.5","2.20","1.06"
"423","NEW","","5929","三和ＨＤ","東Ｐ","3,866","-8","-0.21","2,560","","","13.5","2.32","3.78"
"424","NEW","","4680","ラウンドワン","東Ｐ","1,246.5","+0.5","+0.04","2,554","","","17.9","3.97","1.44"
"425","NEW","","5253","カバー","東Ｇ","1,625","+9","+0.56","2,529","","","21.1","5.19","－"
"426","NEW","","6951","日電子","東Ｐ","7,187","-372","-4.92","2,524","","","16.4","2.42","1.84"
"427","NEW","","6703","ＯＫＩ","東Ｐ","3,620","+70","+1.97","2,521","","","17.4","1.74","1.80"
"428","NEW","","6941","山一電機","東Ｐ","8,670","-470","-5.14","2,519","","","17.4","3.44","1.73"
"429","NEW","","3046","ＪＩＮＳＨＤ","東Ｐ","8,410","+460","+5.79","2,510","","","22.8","5.79","1.37"
"430","NEW","","8088","岩谷産","東Ｐ","2,033.0","-14.0","-0.68","2,484","","","10.3","1.07","2.31"
"431","NEW","","2371","カカクコム","東Ｐ","3,570.0","-7.0","-0.20","2,474","","","34.1","10.87","－"
"432","NEW","","7180","九州ＦＧ","東Ｐ","1,514.5","-4.5","-0.30","2,449","","","14.3","0.84","2.51"
"433","NEW","","4368","扶桑化学","東Ｐ","4,015","-295","-6.84","2,430","","","22.1","3.62","0.70"
"434","NEW","","8418","山口ＦＧ","東Ｐ","3,004.0","-22.0","-0.73","2,423","","","13.5","0.91","3.20"
"435","NEW","","4061","デンカ","東Ｐ","4,068","-120","-2.87","2,420","","","21.9","1.13","2.46"
"436","NEW","","4912","ライオン","東Ｐ","1,725.5","-3.5","-0.20","2,410","","","19.1","1.48","1.97"
"437","NEW","","9007","小田急","東Ｐ","1,715.5","+18.5","+1.09","2,368","","","15.3","1.16","3.50"
"438","NEW","","1980","ダイダン","東Ｐ","2,924","-45","-1.52","2,344","","","13.9","2.90","2.91"
"439","NEW","","3105","日清紡ＨＤ","東Ｐ","2,386.5","-19.0","-0.79","2,339","","","37.3","1.23","1.51"
"440","NEW","","7951","ヤマハ","東Ｐ","1,188.0","0.0","0.00%","2,339","","","18.7","1.09","2.19"
"441","NEW","","7564","ワークマン","東Ｓ","6,280","+90","+1.45","2,320","","","23.0","3.34","1.42"
"442","NEW","","9468","カドカワ","東Ｐ","3,799","+89","+2.40","2,312","","","96.3","2.28","0.79"
"443","NEW","","5233","太平洋セメ","東Ｐ","4,090","-84","-2.01","2,304","","","9.3","0.66","2.93"
"444","NEW","","4194","ビジョナル","東Ｐ","8,386","+206","+2.52","2,302","","","21.1","4.15","－"
"445","↓258","187","589A","ネイス","東Ｇ","1,398","-89","-5.99","2,302","-3,983","-63.4%","13.0","11.22","－"
"446","NEW","","4047","関電化","東Ｐ","3,175","-180","-5.37","2,287","","","26.8","2.52","1.13"
"447","NEW","","9513","Ｊパワー","東Ｐ","3,633.0","-37.0","-1.01","2,286","","","7.9","0.45","2.89"
"448","NEW","","1808","長谷工","東Ｐ","2,868.5","-1.0","-0.03","2,276","","","11.5","1.35","3.49"
"449","NEW","","6465","ホシザキ","東Ｐ","5,723","-57","-0.99","2,216","","","20.7","2.01","2.01"
"450","NEW","","3778","さくらネット","東Ｐ","2,757","-68","-2.41","2,215","","","129","3.67","0.20"
"451","NEW","","6592","マブチ","東Ｐ","1,653.0","-2.0","-0.12","2,204","","","18.5","1.18","3.39"
"452","NEW","","7599","ＩＤＯＭ","東Ｐ","1,414","-86","-5.73","2,200","","","10.0","1.61","3.00"
"453","NEW","","7282","豊田合","東Ｐ","5,167","-124","-2.34","2,187","","","10.6","1.07","3.39"
