公表日,時刻,コード,会社名,種別,市場,33業種,基準日,終値,PBR,業種平均PBR,業種相対PBR,開示タイトル
2025-08-05,15:30,1743,コーアツ工業,賛同,スタンダード市場,建設業,2025-08-05,1727.0,0.42,0.8,0.525,株式会社ウエムラによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-06,16:30,4319,ＴＡＣ,MBO,スタンダード市場,サービス業,2025-08-06,239.0,0.64,1.3,0.492,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-08-06,15:30,4464,ソフト９９,MBO,スタンダード市場,化学,2025-08-06,1620.0,0.61,0.8,0.762,MBOの実施及び応募推奨に関するお知らせ
2025-08-06,15:30,6028,テクノプロＨＤ,賛同,プライム市場,サービス業,2025-08-06,4876.0,5.97,1.9,3.142,テクノプロ・グループ　非公開化に向けた方針について
2025-08-06,20:30,6542,ＦＣＨＤ,賛同,スタンダード市場,サービス業,2025-08-06,1190.0,0.96,1.3,0.738,ＴＣＢ‐１４株式会社による当社株式に対する公開買付けに関する賛同意見表明及び応募推奨に関するお知らせ
2025-08-07,16:30,3540,Ｃｉメディカル,賛同,スタンダード市場,卸売業,2025-08-07,1010.0,1.76,0.8,2.2,その他の関係会社であるエア・ウォーター株式会社による 当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-07,16:30,6937,古河電池,賛同,プライム市場,電気機器,2025-08-07,1390.0,1.15,1.6,0.719,株式会社ＡＰ78による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-08,21:35,1890,東洋建,賛同,プライム市場,建設業,2025-08-08,1644.0,2.1,1.3,1.615,大成建設株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-08,16:30,3526,芦森工,賛同,スタンダード市場,輸送用機器,2025-08-08,2880.0,0.7,0.6,1.167,その他の関係会社である豊田合成株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-08,16:00,3847,パシフィックＳ,賛同,スタンダード市場,情報・通信業,2025-08-08,5250.0,1.14,1.8,0.633,支配株主である太平洋セメント株式会社による当社株式に対する 公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-08,16:30,6416,桂川電機,MBO,スタンダード市場,機械,2025-08-08,723.0,0.27,0.8,0.338,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-08-08,16:30,9904,ベリテ,賛同,スタンダード市場,小売業,2025-08-08,386.0,2.48,1.3,1.908,センコーグループホールディングス株式会社による当社株式に対する公開買付けに関する意見表明のお知らせ
2025-08-12,20:20,3136,Ａ－エコノス,賛同,,,2025-08-12,1056.0,1.57,,,株式会社ハードオフコーポレーションによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-13,16:00,2150,ケアネット,賛同,プライム市場,サービス業,2025-08-13,767.0,3.0,1.9,1.579,Curie １株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-14,18:20,176A,Ｇ－レジル,賛同,グロース市場,電気・ガス業,2025-08-14,2574.0,4.76,28.1,0.169,株式会社BCJ-100による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-14,16:15,5070,Ｇ－ドラフト,MBO,グロース市場,建設業,2025-08-14,571.0,1.74,2.5,0.696,MBOの実施及び応募の推奨に関するお知らせ
2025-08-14,16:15,5577,Ｇ－アイデミー,賛同,グロース市場,情報・通信業,2025-08-14,1081.0,3.99,3.9,1.023,アクセンチュア株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-08-29,12:15,7229,ユタカ技研,賛同,スタンダード市場,輸送用機器,2025-08-28,2843.0,0.41,0.6,0.683,マザーサン グローバル インベストメンツ ビーブイによる当社株式に対する公開買付けの開始予定に係る賛同の意見表明及び応募推奨に関するお知らせ
2025-08-29,20:00,7523,アールビバン,MBO,スタンダード市場,小売業,2025-08-29,1103.0,0.64,1.3,0.492,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-09-10,17:15,4917,マンダム,MBO,プライム市場,化学,2025-09-10,1484.0,0.96,1.1,0.873,ＭＢＯの実施予定に関する賛同の意見表明及び応募の推奨に関するお知らせ
2025-09-11,19:00,2389,デジタルＨＤ,賛同,プライム市場,サービス業,2025-09-11,2143.0,0.83,2.0,0.415,株式会社博報堂ＤＹホールディングスによる当社株券等に対する公開買付けに関する意見表明のお知らせ
2025-09-11,16:00,5017,富士石油,賛同,プライム市場,石油・石炭製品,2025-09-11,333.0,0.41,0.9,0.456,その他の関係会社である出光興産株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-09-24,18:30,7817,パラベッド,MBO,プライム市場,その他製品,2025-09-24,2671.0,1.09,1.4,0.779,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-09-30,23:00,7011,三菱重,賛同,プライム市場,機械,2025-09-30,3879.0,5.23,1.5,3.487,当社連結子会社である三菱ロジスネクスト株式会社の非公開化に係る契約の締結及び連結子会社の異動（予定）のお知らせ
2025-09-30,23:00,7105,三菱ロジスネクスト,賛同,スタンダード市場,輸送用機器,2025-09-30,1815.0,1.6,0.7,2.286,LVJホールディングス2合同会社による当社株券等に対する公開買付けの開始予定に関する意見表明のお知らせ
2025-10-02,15:30,1712,ダイセキＳ,賛同,スタンダード市場,建設業,2025-10-02,1199.0,1.11,0.8,1.387,親会社である株式会社ダイセキによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-10-02,17:45,9600,アイネット,賛同,プライム市場,情報・通信業,2025-10-02,1649.0,1.25,2.5,0.5,OFI・01株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-10-15,17:00,3094,スーパーＶ,賛同,スタンダード市場,小売業,2025-10-15,648.0,4.72,1.4,3.371,支配株主である株式会社OICグループによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-10-29,18:15,9719,ＳＣＳＫ,賛同,プライム市場,情報・通信業,2025-10-29,4334.0,4.28,2.5,1.712,当社の親会社である住友商事の子会社SCインベストメンツ・マネジメントによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-10-30,13:15,1949,住友電設,賛同,プライム市場,建設業,2025-10-29,7620.0,2.15,1.4,1.536,大和ハウス工業株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-10-30,15:30,3655,ブレインパッド,賛同,プライム市場,情報・通信業,2025-10-30,1377.0,5.42,2.5,2.168,富士通株式会社による当社株式に対する公開買付けに関する賛同の意見表明および応募推奨ならびに経営統合契約の締結に関するお知らせ
2025-10-30,12:00,5191,住友理工,賛同,プライム市場,ゴム製品,2025-10-29,2156.0,0.92,1.0,0.92,支配株主である住友電気工業株式会社による当社株式に対する公開買付けに係る賛同の意見表明及び応募推奨に関するお知らせ
