公表日,時刻,コード,会社名,種別,市場,33業種,基準日,終値,PBR,業種平均PBR,業種相対PBR,開示タイトル
2024-01-05,15:00,9977,アオキスーパー,MBO,スタンダード市場,小売業,2024-01-05,2640.0,0.68,1.4,0.486,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-01-19,15:00,5127,Ｇ－グッピーズ,賛同,グロース市場,情報・通信業,2024-01-19,1796.0,2.79,3.9,0.715,株式会社メドレーによる当社株券等に対する公開買付けに関する意見表明のお知らせ
2024-01-24,16:30,4489,Ｇ－ペイロール,MBO,グロース市場,情報・通信業,2024-01-24,1004.0,1.29,3.9,0.331,MBOの実施及び応募の推奨に関するお知らせ
2024-01-30,16:00,5781,東邦金属,賛同,スタンダード市場,非鉄金属,2024-01-30,1300.0,0.82,0.7,1.171,太陽鉱工株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-02-06,15:33,2651,ローソン,賛同,プライム市場,小売業,2024-02-06,8913.0,3.13,1.9,1.647,ＫＤＤＩ株式会社による当社株券等に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨並びに資本業務提携のお知らせ
2024-02-08,16:00,6556,ウェルビー,MBO,プライム市場,サービス業,2024-02-08,838.0,5.15,2.1,2.452,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-02-09,17:00,6789,ローランドＤＧ,MBO,プライム市場,電気機器,2024-02-09,3870.0,1.27,1.9,0.668,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-02-20,16:00,7816,スノーピーク,MBO,プライム市場,その他製品,2024-02-20,1138.0,2.81,1.4,2.007,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-03-01,20:55,7676,Ｇ－グッドスピード,賛同,グロース市場,小売業,2024-03-01,819.0,,,,株式会社宇佐美鉱油による当社株券等に対する公開買付けの開始予定に係る意見表明に関するお知らせ
2024-03-18,16:30,4185,ＪＳＲ,賛同,プライム市場,化学,2024-03-18,4321.0,2.39,1.2,1.992,JICC-02株式会社による当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2024-03-21,18:30,9099,Ｃ＆ＦロジＨＤ,賛同,プライム市場,陸運業,2024-03-21,2041.0,0.96,1.2,0.8,ＡＺ-ＣОМ丸和ホールディングス株式会社による当社株式に対する公開買付けの開始予定に関するお知らせ
2024-03-25,19:40,6938,双信電機,賛同,スタンダード市場,電気機器,2024-03-25,311.0,0.44,0.9,0.489,親会社である華新科技股有限公司の子会社である釜屋電機株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-03-28,16:00,4930,グラフィコ,賛同,スタンダード市場,化学,2024-03-28,2713.0,1.04,0.8,1.3,Church &amp; Dwight Japan合同会社による当社株券等に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2024-04-05,17:30,9717,ジャステック,賛同,プライム市場,情報・通信業,2024-04-05,1410.0,1.16,2.5,0.464,株式会社NTTデータによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-04-08,17:30,4714,リソー教育,賛同,プライム市場,サービス業,2024-04-08,223.0,2.88,2.1,1.371,ヒューリック株式会社による当社株式に対する公開買付けに関する意見表明、同社との資本業務提携契約の変更、第三者割当による新株式発行に関するお知らせ
2024-04-15,15:30,7074,Ｇ－２４７,賛同,グロース市場,サービス業,2024-04-15,339.0,13.29,3.2,4.153,いなよしキャピタルパートナーズによる当社株式に対する公開買付けに関する意見表明、同社及びNOVAホールディングス等との資本業務提携締結ほかに関するお知らせ
2024-04-25,19:45,4726,ＳＢテクノロジー,賛同,プライム市場,情報・通信業,2024-04-25,2046.0,1.39,2.5,0.556,当社親会社であるソフトバンク株式会社による当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-04-25,15:00,8155,三益半導,賛同,プライム市場,金属製品,2024-04-25,2732.0,1.08,0.8,1.35,当社関係会社である信越化学工業株式会社による当社株式に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2024-05-09,15:40,4781,日ハウズ,MBO,スタンダード市場,サービス業,2024-05-09,1138.0,1.69,1.2,1.408,ＭＢＯの実施予定及び応募の推奨に関するお知らせ
2024-05-09,16:00,9055,アルプス物,賛同,プライム市場,陸運業,2024-05-09,4350.0,2.51,1.1,2.282,LDEC株式会社による当社株券等に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨並びに資本業務提携のお知らせ
2024-05-10,20:10,2599,ジャパンＦ,賛同,スタンダード市場,食料品,2024-05-10,1656.0,0.89,1.2,0.742,JAF ホールディングス株式会社による当社株式に対する公開買付けに関する意見表明のお知らせ
2024-05-13,15:30,2372,アイロムＧ,MBO,プライム市場,サービス業,2024-05-13,1873.0,1.73,2.0,0.865,MBOの実施予定及び応募の推奨に関するお知らせ
2024-05-13,15:00,4770,図研エルミック,賛同,スタンダード市場,情報・通信業,2024-05-13,326.0,2.17,1.7,1.276,支配株主である株式会社図研による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2024-05-15,16:40,9078,エスラインＧ本社,MBO,スタンダード市場,陸運業,2024-05-15,1257.0,0.49,0.6,0.817,MBOの実施及び応募の推奨に関するお知らせ
2024-05-16,16:30,3077,ホリイフード,賛同,スタンダード市場,小売業,2024-05-16,392.0,4.68,1.5,3.12,麻布台１号有限責任事業組合による当社株式に対する公開買付けに関する意見表明及び株式会社玉光堂ホールディングスとの業務提携 契約締結に関するお知らせ
2024-05-17,17:30,9827,リリカラ,賛同,スタンダード市場,卸売業,2024-05-17,684.0,1.04,0.8,1.3,株式会社ティーケーピーによる当社株券に対する公開買付けに関する意見表明及び同社との資本業務提携契約締結に関するお知らせ
2024-05-20,15:30,9873,日本ＫＦＣ,賛同,スタンダード市場,小売業,2024-05-20,5400.0,3.9,1.5,2.6,株式会社クリスピーによる当社株式に対する公開買付けに関する意見表明のお知らせ
2024-05-31,16:30,6927,ヘリオステクノＨ,賛同,スタンダード市場,電気機器,2024-05-31,473.0,0.53,0.9,0.589,株式会社RS Technologiesによる当社株券に対する公開買付けに関する賛同の意見表明のお知らせ
2024-06-03,16:30,2899,永谷園ＨＤ,MBO,プライム市場,食料品,2024-06-03,2240.0,0.86,1.3,0.662,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-06-04,15:00,6236,ＮＣＨＤ,賛同,スタンダード市場,機械,2024-06-04,1719.0,0.98,0.8,1.225,ネイビー１株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-06-10,13:45,6736,サン電子,賛同,スタンダード市場,電気機器,2024-06-07,3690.0,1.67,0.8,2.087,ヘバラ ホールドコ ツー エル ピーによる当社株券に対する公開買付けの開始に関するお知らせ
2024-06-14,15:00,4921,ファンケル,賛同,プライム市場,化学,2024-06-14,2285.0,3.47,1.2,2.892,キリンホールディングス株式会社による当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2024-06-18,16:30,4348,インフォコム,賛同,プライム市場,情報・通信業,2024-06-18,6030.0,6.88,2.3,2.991,ビー・エックス・ジェイ・シー・ツー・ホールディング株式会社による当社株券等に対する公開買付けに関する意見表明のお知らせ
2024-06-20,16:00,5809,タツタ線,賛同,プライム市場,非鉄金属,2024-06-20,757.0,0.89,0.9,0.989,ＥＮＥＯＳホールディングス株式会社の完全子会社（ＪＸ金属株式会社）による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-06-27,16:00,7647,音通,賛同,スタンダード市場,小売業,2024-06-27,28.0,1.8,1.5,1.2,株式会社GENDAによる当社株券に対する公開買付けに関する意見表明のお知らせ
2024-07-12,16:50,7086,Ｇ－きずなＨＤ,賛同,グロース市場,サービス業,2024-07-12,1442.0,1.66,2.9,0.572,燦ホールディングス株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-07-16,15:00,5025,Ｇ－マーキュリーＲＩ,賛同,グロース市場,情報・通信業,2024-07-16,640.0,2.03,3.7,0.549,株式会社ＧＡ ｔｅｃｈｎｏｌｏｇｉｅｓによる当社株式に対する公開買付けに関する意見表明及び資本業務提携契約締結のお知らせ
2024-07-23,15:45,6937,古河電池,賛同,プライム市場,電気機器,2024-07-23,1142.0,0.99,1.8,0.55,株式会社ＡＰ78による当社株式に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2024-08-02,16:00,8889,ＡＰＡＭＡＮ,MBO,スタンダード市場,不動産業,2024-08-02,507.0,2.28,0.9,2.533,ＭＢＯの実施及び応募の推奨並びに子会社における会社分割（吸収分割）及び子会社の異動を伴う株式譲渡に関するお知らせ
2024-08-05,15:15,4215,タキロンシーアイ,賛同,プライム市場,化学,2024-08-05,895.0,0.9,1.1,0.818,親会社である伊藤忠商事株式会社の子会社である合同会社APIによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-08-05,15:00,8114,デサント,賛同,プライム市場,繊維製品,2024-08-05,3365.0,2.09,1.0,2.09,伊藤忠商事株式会社の子会社であるＢＳインベストメント株式会社による当社株式に対する公開買付けの開始予定に係る賛同の意見表明及び応募推奨に関するお知らせ
2024-08-08,17:00,2487,ＣＤＧ,賛同,スタンダード市場,サービス業,2024-08-08,1191.0,1.14,1.2,0.95,当社のその他の関係会社である株式会社 CL ホールディングスによる 当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2024-08-08,16:00,2754,東葛ＨＤ,賛同,スタンダード市場,小売業,2024-08-08,530.0,0.48,1.4,0.343,株式会社オートバックス・ディーラーグループ・ホールディングスによる当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-08-08,16:00,5395,理コランダ,賛同,スタンダード市場,ガラス・土石製品,2024-08-08,2790.0,0.5,0.7,0.714,支配株主であるオカモト株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-08-08,19:45,6362,石井鉄,MBO,スタンダード市場,機械,2024-08-08,2953.0,0.83,0.8,1.037,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-08-08,15:00,6698,ＶｉＳＣＯＴＥＣ,賛同,スタンダード市場,電気機器,2024-08-08,533.0,1.02,0.8,1.275,三菱電機株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-08-08,17:25,9749,富士ソフト,賛同,プライム市場,情報・通信業,2024-08-08,8890.0,4.2,2.2,1.909,FK株式会社による当社株券等に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2024-08-09,16:30,3918,ＰＣＩＨＤ,賛同,スタンダード市場,情報・通信業,2024-08-09,881.0,1.0,1.7,0.588,株式会社レスターによる当社株式に対する公開買付けに関する賛同及び応募中立の意見表明並びに同社との資本業務提携契約の締結に関するお知らせ
2024-08-14,15:00,4485,Ｇ－ＪＴＯＷＥＲ,賛同,グロース市場,情報・通信業,2024-08-14,1430.0,1.18,3.7,0.319,ディービー ピラミッド ホールディングス エルエルシーによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-08-14,16:15,8072,日出版貿,賛同,スタンダード市場,卸売業,2024-08-14,2710.0,0.72,0.8,0.9,株式会社トーハンによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-08-26,15:30,1451,ＫＨＣ,賛同,スタンダード市場,建設業,2024-08-26,700.0,0.44,0.7,0.629,ファースト住建株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-09-05,15:00,9232,パスコ,賛同,スタンダード市場,空運業,2024-09-05,1657.0,0.82,3.1,0.265,親会社であるセコム(株)、及び伊藤忠商事(株)が出資するISフロンティアパートナーズ(株)による当社株式の公開買付に関する賛同の意見表明・応募推奨のお知らせ
2024-09-06,15:05,4268,Ｇ－エッジテクノロジ,賛同,グロース市場,情報・通信業,2024-09-06,537.0,8.57,3.6,2.381,株式会社千葉銀行による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-09-09,15:30,9675,常磐興,賛同,スタンダード市場,サービス業,2024-09-09,1540.0,1.12,1.2,0.933,Ｏｎｔａｒｉｏ合同会社による当社株式に対する公開買付けに関する意見表明のお知らせ
2024-09-13,16:15,8890,レーサム,賛同,スタンダード市場,不動産業,2024-09-13,3045.0,1.44,0.9,1.6,ヒューリック株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-09-17,15:00,9058,トランコム,MBO,プライム市場,倉庫・運輸関連業,2024-09-17,7330.0,1.31,1.0,1.31,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-09-19,15:00,6099,エラン,賛同,プライム市場,サービス業,2024-09-19,852.0,4.12,1.9,2.168,エムスリー株式会社による当社株式に対する公開買付けに関する意見表明及び同社との資本業務提携契約締結に関するお知らせ
2024-09-30,15:00,3738,ティーガイア,賛同,プライム市場,情報・通信業,2024-09-30,3670.0,2.6,2.3,1.13,株式会社BCJ-82-1による当社株式に対する公開買付けに関する意見表明のお知らせ
2024-09-30,15:00,8053,住友商,賛同,プライム市場,卸売業,2024-09-30,799.0,0.89,1.1,0.809,株式会社ティーガイアに対する非公開化への協力に関する契約の締結に関するお知らせ
2024-10-08,17:00,7445,ライトオン,賛同,スタンダード市場,小売業,2024-10-08,305.0,13.59,1.3,10.454,"W&amp;DiDによる当社株式に対する公開買付けの開始予定に係る意見表明,第三者割当による新株発行,並びに主要株主である筆頭株主及び支配株主の異動に関するお知らせ"
2024-10-11,15:30,187A,サムティＨＤ,賛同,プライム市場,不動産業,2024-10-11,3080.0,1.35,1.6,0.844,SongBidco合同会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-10-11,18:30,7603,マックハウス,賛同,スタンダード市場,小売業,2024-10-11,334.0,4.18,1.3,3.215,当社株式に対する公開買付けに関する意見表明及び株式会社ジーエフホールディングスとの業務提携契約締結に関するお知らせ
2024-10-18,13:45,9362,兵機海運,賛同,スタンダード市場,倉庫・運輸関連業,2024-10-17,2770.0,0.68,0.5,1.36,堂島汽船株式会社による当社株券に対する公開買付けの開始に関するお知らせ
2024-10-29,15:00,1973,ＮＥＳＩＣ,賛同,プライム市場,情報・通信業,2024-10-29,3000.0,2.88,2.3,1.252,当社親会社である日本電気株式会社による当社普通株式に対する公開買付けに係る賛同の意見表明及び応募推奨に関するお知らせ
2024-10-29,17:00,2715,エレマテック,賛同,プライム市場,卸売業,2024-10-29,1705.0,1.0,1.1,0.909,親会社である豊田通商株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-10-31,15:00,8732,マネパＧ,賛同,スタンダード市場,証券、商品先物取引業,2024-10-31,214.0,0.48,0.8,0.6,株式会社外為どっとコムによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-11-01,15:00,6164,太陽工機,賛同,スタンダード市場,機械,2024-11-01,1395.0,1.2,0.7,1.714,支配株主であるDMG森精機株式会社による当社株式に対する 公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2024-11-06,16:30,7518,ネットワン,賛同,プライム市場,情報・通信業,2024-11-06,3605.0,3.57,2.3,1.552,ＳＣＳＫ株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-11-07,17:30,1439,安江工務店,賛同,スタンダード市場,建設業,2024-11-07,1515.0,0.8,0.7,1.143,株式会社サーラコーポレーションによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-11-07,16:30,3857,ラック,賛同,スタンダード市場,情報・通信業,2024-11-07,746.0,1.48,1.6,0.925,ＫＤＤＩ株式会社による当社株式に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2024-11-07,15:30,6640,Ｉ・ＰＥＸ,MBO,プライム市場,電気機器,2024-11-07,1599.0,0.48,1.6,0.3,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-11-11,17:30,5610,大和重,MBO,スタンダード市場,鉄鋼,2024-11-11,1145.0,0.49,0.5,0.98,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-11-11,16:00,5993,知多鋼,賛同,,,2024-11-11,849.0,0.34,,,カヤバ株式会社による当社株式に対する公開買付けの開始予定に関する意見表明及び応募推奨のお知らせ
2024-11-11,17:00,9260,Ｗｉｓｍｅｔｔａｃ,MBO,プライム市場,卸売業,2024-11-11,1353.0,0.69,1.0,0.69,MBOの実施及び応募の推奨に関するお知らせ
2024-11-12,17:00,4955,アグロカネショウ,賛同,スタンダード市場,化学,2024-11-12,1389.0,0.84,0.7,1.2,出光興産株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-11-13,15:30,5596,Ｇ－アウトルック,賛同,グロース市場,情報・通信業,2024-11-13,1000.0,3.7,3.5,1.057,株式会社マネーフォワードの子会社による当社株式に対する公開買付けに関する意見表明並びに同社との資本業務提携契約の締結に関するお知らせ
2024-11-13,16:00,5935,元旦,MBO,スタンダード市場,金属製品,2024-11-13,1501.0,0.95,0.5,1.9,MBOの実施及び応募の推奨に関するお知らせ
2024-11-13,16:00,7999,ＭＵＴＯＨ－ＨＤ,賛同,スタンダード市場,電気機器,2024-11-13,2403.0,0.47,0.8,0.587,TCSファンド及び豊栄実業株式会社による当社株式に対する公開買付けに関する意見表明のお知らせ
2024-11-14,17:45,3909,ショーケース,賛同,スタンダード市場,情報・通信業,2024-11-14,397.0,3.47,1.6,2.169,AIFC社による当社株式に対する公開買付けに関する賛同、提携契約の締結、及び同社を割当予定先とする第三者割当による新株式発行に関するお知らせ
2024-11-14,15:30,3978,マクロミル,賛同,プライム市場,情報・通信業,2024-11-14,821.0,0.75,2.3,0.326,TJ1株式会社による当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-11-14,17:00,3990,Ｇ－ＵＵＵＭ,賛同,グロース市場,情報・通信業,2024-11-14,365.0,1.97,3.5,0.563,支配株主である株式会社フリークアウト・ホールディングスによる当社株券等に対する 公開買付けに関する意見表明及び応募推奨のお知らせ
2024-11-14,16:00,4295,フェイス,MBO,スタンダード市場,情報・通信業,2024-11-14,379.0,0.32,1.6,0.2,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-11-14,17:00,9160,ノバレーゼ,賛同,スタンダード市場,サービス業,2024-11-14,349.0,0.99,1.2,0.825,株式会社ティーケーピーによる当社株式に対する公開買付けに関する賛同及び応募中立の意見表明並びに同社との資本業務提携契約の締結に関するお知らせ
2024-11-14,17:00,9522,Ｇ－リニューアブルＪ,MBO,グロース市場,電気・ガス業,2024-11-14,538.0,1.26,2.3,0.548,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-11-15,15:30,3192,白鳩,賛同,スタンダード市場,小売業,2024-11-15,255.0,0.77,1.3,0.592,株式会社歯愛メディカルによる当社株券に対する公開買付けに関する意見表明のお知らせ
2024-11-19,16:00,9161,ＩＤ＆ＥＨＤ,賛同,プライム市場,サービス業,2024-11-19,3980.0,0.69,1.8,0.383,東京海上ホールディングス株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-11-29,16:00,5622,Ｐ－ワンビ,賛同,,情報・通信業,,,,,,株式会社アイキューブドシステムズによる当社株式に対する公開買付けに関する意見表明のお知らせ
2024-11-29,15:30,7342,Ｇ－ウェルスナビ,賛同,グロース市場,証券、商品先物取引業,2024-11-29,1358.0,2.77,1.9,1.458,株式会社三菱UFJ銀行による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2024-12-06,17:00,7896,セブン工,賛同,スタンダード市場,その他製品,2024-12-06,456.0,0.32,0.5,0.64,都築木材株式会社による当社株式に対する公開買付けに関する賛同及び応募中立の意見表明に関するお知らせ
2024-12-09,15:30,1730,麻生フオーム,賛同,スタンダード市場,建設業,2024-12-09,541.0,1.84,0.7,2.629,当社の支配株主（親会社）の子会社である日特建設株式会社による当社株式に対する公開買付けに係る賛同の意見表明及び応募推奨に関するお知らせ
2024-12-13,17:15,3976,Ｇ－シャノン,賛同,グロース市場,情報・通信業,2024-12-13,529.0,,,,株式会社イノベーションによる当社株式等に対する公開買付けに関する意見表明に関するお知らせ
2024-12-13,15:30,4124,大阪油化工業,賛同,スタンダード市場,化学,2024-12-13,1520.0,0.78,0.8,0.975,株式会社ダイセキによる当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2024-12-19,17:15,3328,ＢＥＥＮＯＳ,賛同,プライム市場,小売業,2024-12-19,4070.0,3.57,1.9,1.879,LINEヤフー株式会社による当社株券等に対する公開買付けの開始に関する賛同の意見表明及び応募推奨のお知らせ
2024-12-26,15:30,4304,Ｅストアー,賛同,スタンダード市場,情報・通信業,2024-12-26,1204.0,1.89,1.7,1.112,株式会社JG27による当社株式に対する公開買付けの開始予定に係る賛同の意見表明及び応募推奨に関するお知らせ
2024-12-27,14:30,6135,牧野フライス,賛同,プライム市場,機械,2024-12-26,7750.0,0.8,1.4,0.571,ニデック株式会社による当社株式に対する公開買付け開始予定に関するお知らせ
2025-01-06,15:30,6755,富士通ゼ,賛同,プライム市場,電気機器,2025-01-06,2273.0,1.82,1.6,1.137,株式会社パロマ・リームホールディングスによる当社株式に対する公開買付けの開始予定に係る賛同の意見表明及び応募推奨に関するお知らせ
2025-01-10,16:30,3254,プレサンス,賛同,スタンダード市場,不動産業,2025-01-10,1957.0,0.7,0.9,0.778,支配株主である株式会社オープンハウスグループによる当社株券に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-01-14,16:00,7408,ジャムコ,賛同,プライム市場,輸送用機器,2025-01-14,1408.0,2.01,0.9,2.233,株式会社BCJ-92による当社株券等に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2025-01-28,21:45,3458,シーアールイー,MBO,プライム市場,不動産業,2025-01-28,1314.0,0.93,1.6,0.581,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-01-30,16:30,7559,ＧＦＣ,MBO,スタンダード市場,卸売業,2025-01-30,1394.0,0.45,0.7,0.643,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-01-31,17:45,2372,アイロムＧ,MBO,プライム市場,サービス業,2025-01-31,2786.0,2.58,1.9,1.358,MBOの実施及び応募の推奨に関するお知らせ
2025-01-31,15:30,3264,アスコット,賛同,スタンダード市場,不動産業,2025-01-31,216.0,0.99,0.9,1.1,大東建託株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-01-31,16:30,3830,ギガプライズ,賛同,,,2025-01-31,1684.0,2.32,,,支配株主であるフリービット株式会社が出資する株式会社LERZによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-01-31,16:30,3952,中央紙器,賛同,,,2025-01-31,1349.0,0.5,,,ニッコンホールディングス株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-01-31,16:00,5481,山陽特鋼,賛同,プライム市場,鉄鋼,2025-01-31,2001.0,0.49,0.6,0.817,当社親会社である日本製鉄株式会社による当社株式に対する公開買付けに係る賛同の意見表明及び応募推奨に関するお知らせ
2025-02-04,18:30,2397,ＤＮＡチップ研,賛同,スタンダード市場,サービス業,2025-02-04,719.0,7.21,1.2,6.008,三井化学株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-02-04,16:30,3666,テクノスジャパン,賛同,スタンダード市場,情報・通信業,2025-02-04,833.0,2.16,1.6,1.35,シー・シックス・エイト株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-02-04,15:30,4298,プロトコーポ,MBO,プライム市場,サービス業,2025-02-04,1280.0,1.04,1.9,0.547,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-02-04,18:30,8038,東都水,賛同,スタンダード市場,卸売業,2025-02-04,5390.0,0.72,0.7,1.029,合同会社麻生東水ホールディングスによる当社株式に対する公開買付けに関する賛同の意見表明及び応募に関する中立の意見表明に関するお知らせ
2025-02-05,18:00,6131,浜井産,MBO,スタンダード市場,機械,2025-02-05,977.0,0.98,0.7,1.4,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-02-05,20:55,6957,芝浦電子,賛同,スタンダード市場,電気機器,2025-02-05,3135.0,1.28,0.8,1.6,YAGEO Corporation による当社株式に対する公開買付けの開始予定に関するお知らせ
2025-02-05,15:45,9852,ＣＢグループ,賛同,スタンダード市場,卸売業,2025-02-05,5300.0,0.42,0.7,0.6,C Holdings株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-02-06,17:10,2107,洋糖,賛同,スタンダード市場,食料品,2025-02-06,1628.0,0.82,1.2,0.683,ウェルネオシュガー株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-02-06,17:30,4615,神東塗料,賛同,スタンダード市場,化学,2025-02-06,155.0,0.35,0.8,0.437,大日本塗料株式会社による当社株式に対する公開買付けに関する意見表明及び同社を割当予定先とする第三者割当増資の方法による新株式発行に関するお知らせ
2025-02-07,16:30,3604,川本産業,賛同,スタンダード市場,繊維製品,2025-02-07,906.0,0.69,0.5,1.38,支配株主であるエア・ウォーター株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-02-10,16:00,8956,Ｒ－ＮＴＴ都市開発Ｒ,反対/留保,,,2025-02-10,132300.0,,,,CITCO TRUSTEES (UT) LIMITED AS TRUSTEE OF 3D ENDEAVOR MASTER FUND IIによるＮＴＴ都市開発リート投資法人投資口に対する公開買付けに関する意見表明（留保）
2025-02-12,16:00,6955,ＦＤＫ,賛同,スタンダード市場,電気機器,2025-02-12,640.0,1.35,0.8,1.688,SILITECH TECHNOLOGY CORPORATIONによる当社株式に対する公開買付けに関する意見表明のお知らせ
2025-02-13,16:50,4435,Ｇ－カオナビ,賛同,グロース市場,情報・通信業,2025-02-13,1980.0,8.93,3.6,2.481,キーストーンインベストメントホールディングスエルピーによる当社株券等に対する公開買付けに関する意見表明のお知らせ
2025-02-14,18:00,5845,全保連,賛同,スタンダード市場,その他金融業,2025-02-14,758.0,2.73,1.1,2.482,三菱UFJニコス(株)による当社株式に対する公開買付けに関する賛同及び応募中立の意見表明並びに同社及び(株)三菱UFJ銀行との資本業務提携契約の締結のお知らせ
2025-02-14,15:30,6715,ナカヨ,賛同,スタンダード市場,電気機器,2025-02-14,1064.0,0.3,0.8,0.375,あいホールディングス株式会社による当社株券に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
